Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0,19.955722727272725,19.955722727272725,16.78748202061764,67105,-7.8515007008118145,2.1951294999999997,1.8466230222679405,-7.8515007008118145,0,3.4089464524377857,0.012161715880295453,-0.8466045276620034,-0.0028416308366392136,2.562341924775782,0.009320085043656239
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0,28.679100000000002,28.679100000000002,24.125905245191458,67271,-10.661261642007847,3.154701,2.6538495769710604,-10.661261642007847,0,5.077884736752001,0.018186162966600004,-1.1495728932151594,-0.003858545135998764,3.928311843536841,0.01432761783060124
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0,19.010431818181818,19.010431818181818,15.99226881999879,45859,-6.615552876814065,2.0911475,1.759149570199867,-6.615552876814065,0,3.4670796484553863,0.012344100723795454,-0.7133358617568593,-0.0023943141282823,2.753743786698527,0.009949786595513155
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0,33.99541363636364,33.99541363636364,28.59818223591391,45860,-10.973851750399298,3.7394955,3.14580004595053,-10.973851750399298,0,6.3658224669546,0.022681366028631817,-2.054912252839802,-0.007321633175497157,4.310910214114799,0.015359732853134661
17,0.193554542,0.441505815,6.89127e-4,0.001013884,1,46.85318636363636,46.85318636363636,23.9845720376033,12377,-29.402231960743478,5.1538505,5.036760127896693,-29.402231960743478,0,9.068647027854281,0.03228779575921364,-12.981256384647098,-0.02981045254928644,-3.9126093567928173,0.002477343209927197
18,0.206690761,0.441505815,7.39891e-4,0.001013884,1,35.43627272727273,35.43627272727273,18.14015015702479,1730,-23.13412949884435,3.8979900000000005,3.8094315329752066,-23.13412949884435,0,7.324350177003546,0.02621897926445455,-10.213852698702816,-0.023455323752806304,-2.88950252169927,0.002763655511648245
19,0.233105318,0.441505815,8.40696e-4,0.001013884,1,46.48738181818182,46.48738181818181,19.416229806060603,0,-38.47715709562862,4.183864363636363,3.6890836631515147,0,0,10.83645592171469,0.03908175594501818,-16.987888602388548,-0.039011373944744326,-6.151432680673858,7.038200027385116e-5
20,0.256652121,0.441505815,9.29912e-4,0.001013884,1,38.73822727272727,38.73822727272727,16.179666257575757,0,-32.848607032380656,3.486440454545454,3.074136588939394,0,0,9.9422481933255,0.03602314239963636,-14.502851019445954,-0.03330467709241823,-4.560602826120453,0.002718465307218129
21,0.258196825,0.035723352,9.4027e-4,0.001013884,1,13.55955,13.55955,5.66337205,0,-11.04663818930633,1.2203595,1.0760406895,0,0,3.5010327584287504,0.0127496380785,-0.39462294445323265,-0.01120000971392666,3.106409813975518,0.001549628364573341
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0,25.20962727272727,25.20962727272727,21.207258207140825,0,-9.900364180213515,2.268866454545454,1.9086532386426742,0,0,6.458035855558391,0.023669369465618182,-2.5362099235824167,-0.00929547172953083,3.9218259319759743,0.014373897736087353
