Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
7/22/2017,99,7.02,3.42,0.25,0.62,0.28,0.16,2.63,8.69,4.57,8.62,2.67,0.58,2.23,5.08,3.37,3.84,0.69,6.17,11.42,12.68,7.37,12.22,4.28,0.57
7/23/2017,99,0.23,0.22,0.21,0.22,0.68,5.78,13.02,10.81,0.97,0.24,0.28,2.14,3.57,3.51,0.17,0.23,7.48,6.18,8.63,14.27,0.97,3.82,1.08,0.16
7/24/2017,99,0.22,0.22,0.62,0.62,4.28,2.57,9.54,38.88,24.85,31.58,26.48,5.94,20.56,30.36,13.44,10.3,7.01,3.97,7.3,24.99,16.76,13.28,14.6,1.57
7/25/2017,99,0.47,0.47,0.48,2.08,2.59,0.37,3.97,18.6,10.04,13.3,9.46,2.1,7.31,23.39,24.4,26.28,5.74,5.18,16.12,13.83,5.18,3.71,1.04,0.75
7/26/2017,99,1.7,0.51,0.49,0.89,0.61,1.59,13.23,41.19,28.33,25.5,16.97,4.74,10.47,8.58,6.31,6.61,16.21,6.79,6.92,9.03,11.19,20.9,14.62,5.18
7/27/2017,99,0.49,0.51,0.5,0.49,1.04,1.16,8.86,29.39,20.9,28.79,34.27,8.9,13.28,20.91,21.4,24,16.83,6.01,6.11,9.43,9.97,10.9,12.64,4.77
7/28/2017,99,6.09,0.51,0.5,0.9,2.62,0.38,0.5,27.26,17.21,16.38,7.77,3.22,1.01,11.67,5.13,9.64,16.94,8.38,14.52,6.22,0.77,0.5,0.64,0.36
7/29/2017,99,0.52,0.89,2.49,0.9,0.61,2,7.72,8.63,1.59,1.3,4.66,2.78,3.69,7.06,0.38,0.49,1.27,5.31,11.73,15.69,8.7,5.71,2.22,3.98
7/30/2017,99,5.29,2.5,0.91,0.89,3.83,5.59,9.32,19.45,3.99,4.51,5.83,0.4,3.31,6.66,4.78,2.91,0.67,2.37,8.53,18.62,9.57,3.72,1.03,1.98
7/31/2017,99,4.11,2.09,1.3,0.5,1.03,1.17,14.42,22.7,16.04,15.36,13.53,9.4,14.05,12.88,5.9,13.25,13.98,7.58,6.52,15.42,13.18,22.09,10.64,1.97
8/1/2017,97,0.51,1.7,1.69,1.3,0.61,1.19,8.11,24.09,26.28,27.97,31.67,5.59,10.51,2.63,1.95,2.12,6.25,5.19,6.91,9.82,13.57,22.49,27.44,14.37
8/2/2017,97,4.1,0.49,0.5,3.29,7.42,2.36,9.9,26.77,11.63,9.7,5.93,4.12,11.52,28.77,12.19,20.13,13.04,3.19,10.5,8.62,3.17,6.91,4.24,0.36
8/3/2017,97,1.32,0.51,0.89,0.5,0.61,0.36,3.58,10.02,7.65,3.34,6.64,5.49,3.68,6.25,5.09,2.27,3.27,7.59,4.92,2.23,0.78,6.5,10.23,6.77
8/4/2017,97,6.9,2.9,0.49,1.29,1.02,0.79,2.27,13.66,9.94,9.96,10,5.68,8.6,9.23,5.42,2.49,1.85,8,18.79,24.23,0.39,0.5,1.42,2.78
8/5/2017,97,3.7,2.89,1.3,0.92,1.81,4.79,8.12,9.03,5.18,1.31,5.46,4.78,3.43,5.7,0.77,4.13,7.85,0.8,0.51,0.63,0.38,0.51,1.01,0.39
8/6/2017,97,0.5,1.29,0.9,0.5,1.84,5.18,6.91,9.44,4.38,0.51,5.05,9.58,16.91,16.01,5.78,2.12,0.65,0.39,0.51,1.84,0.35,0.51,10.62,12.39
8/7/2017,97,14.1,1.7,0.5,0.51,1.82,0.38,2.58,23.22,14.66,22.76,23.46,1.19,5.86,16.08,6.37,4.8,5.59,5.44,8.3,19.67,8.36,2.9,1.84,0.37
8/8/2017,97,0.49,0.5,0.89,0.52,0.61,0.37,10.62,22.98,17.74,15.66,17.45,8.87,4.16,11.33,12.72,18.76,10.92,6.22,7.78,3.99,3.29,13.93,14.64,4.78
8/9/2017,97,4.5,0.5,1.68,0.5,0.64,0.38,5.4,21,16.36,14.25,9.04,1.59,1.78,8.55,4.71,2.24,1.8,0.4,2.52,7.75,7.14,12.34,26.63,9.57
