Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
7/14/2017,53,0.85,1.25,0.87,0.87,0.96,2.14,19.33,27.97,19.91,14.95,12.35,5.07,8,6.4,5.12,3.64,0.91,1.42,0.81,1.3,0.31,3.34,4.92,0.7
7/15/2017,53,0.85,0.87,0.87,1.29,1.05,0.73,5.81,1.21,0.7,0.81,1.3,0.7,0.8,0.9,0.7,0.8,1.3,0.7,0.81,0.91,0.71,0.81,1.31,0.7
7/16/2017,53,0.8,0.8,0.81,1.13,5.47,3.22,5.13,5.86,3.07,1.55,3.4,3.31,4.11,2.66,0.71,0.85,3.48,0.7,0.81,0.9,0.69,0.81,1.31,0.71
7/17/2017,53,0.81,0.8,0.8,0.9,5.42,3.99,18.76,28.71,17.4,21.18,10.34,5.58,17.58,20.78,12.17,12.18,4.54,0.7,0.81,1.3,0.71,0.81,0.91,0.7
7/18/2017,53,0.81,0.8,1.2,1.34,5.13,6.05,21.36,31.04,18.77,9.27,5.04,0.82,2.78,3,0.74,1.13,0.91,0.7,0.81,1.32,0.71,0.82,0.92,0.71
7/19/2017,53,0.82,0.82,1.21,0.81,2.91,5.63,12.37,23.04,15.34,11.2,8.32,5.58,14.99,19.04,8.21,8.55,0.94,0.71,0.8,0.91,0.7,1.21,0.91,0.71
7/20/2017,53,0.81,0.81,0.88,1.28,0.95,2.71,15.6,18.78,11.6,15.39,7.89,2.51,8.64,10.98,7.96,3.54,0.91,0.7,0.8,1.3,0.71,0.8,0.91,0.7
7/21/2017,53,0.81,0.87,0.91,1.33,1.05,0.76,15.82,25.22,16.06,18.44,17.25,6.73,10.89,9.26,5.92,1.77,1.31,1.9,1.21,1.3,0.3,1.21,0.91,0.7
7/22/2017,53,0.81,0.88,0.87,1.27,1.02,0.74,0.8,1.3,0.3,1.2,0.9,0.7,0.8,1.3,0.3,1.21,0.9,0.71,0.81,0.9,0.7,1.91,4.37,0.7
7/23/2017,53,0.81,0.85,0.89,0.88,5.34,3.21,4.64,8.02,3.1,1.93,1.3,0.82,0.8,1.05,0.86,0.88,5.46,5.48,6.63,1.64,0.71,0.8,1.31,0.71
7/24/2017,53,0.8,0.81,0.81,1.14,5.47,3.99,22.85,29.87,16.45,16.53,9.88,12.31,13.28,10.23,3.97,0.81,5.54,3.26,4.19,5.12,4.6,3.39,5.22,0.71
7/25/2017,53,0.81,0.8,0.8,1,6.33,6.41,18.56,25.43,15.32,17.32,13.09,10.59,14.29,16.15,6.71,7.04,13.19,11.41,13.41,10.23,1.68,0.8,0.91,0.7
7/26/2017,53,0.81,1.21,0.8,0.88,5.7,6.36,23.49,40.64,22.75,17.71,13.08,6.06,10.61,13.59,8.94,6.93,8.63,5.26,4.83,1.3,0.31,1.2,0.91,0.71
7/27/2017,53,0.81,0.85,0.86,1.27,0.98,1.54,12.73,30.62,21.79,22.99,10.66,13.05,11.29,11.57,4.13,0.93,1.31,0.7,0.8,0.91,0.7,0.81,1.31,0.7
7/28/2017,53,0.8,0.86,0.84,0.92,2.22,4.04,23.94,26.55,17.96,17.2,14.63,2.43,6.41,10.89,7.18,4.14,2.39,3.21,3.79,0.97,0.71,0.8,1.31,0.7
7/29/2017,53,0.81,0.81,0.8,0.81,1.3,0.7,0.81,0.89,0.7,0.8,1.3,0.7,0.81,0.91,0.7,0.8,1.31,0.7,0.81,2.34,3.22,2.72,1.31,0.31
7/30/2017,53,1.2,0.8,0.8,0.8,1.3,1.45,4.12,5.11,3.26,3.43,1.3,0.7,0.92,1.03,0.79,0.8,4.46,2.87,4.62,3.33,2.5,4.13,1.89,0.74
7/31/2017,53,0.8,1.2,0.8,1.4,5.49,6.44,19.11,27.12,22.61,28.64,24.67,7.56,9.73,10.62,7.25,4.28,4.51,3.21,2.54,0.9,0.7,0.8,1.31,0.71
8/1/2017,186,0.9333,0.81,0.84,1.36,5.48,4.01,18.28,22.22,14.0633,10.0934,14.6667,10.6134,8.8967,15.81,10.2933,7.61,5.28,2.8467,4.15,2.58,0.7,0.81,1.0433,0.7
8/2/2017,186,0.81,1.2,1.96,1.88,6.65,9.35,15.31,22.3166,16.81,15.18,20.83,7.96,8.3533,10.64,6.33,1.78,0.91,0.7,0.81,1.5767,0.71,0.8,0.91,0.7
8/3/2017,186,0.81,1.3333,0.8,0.8,2.1,4.15,16.43,28.95,20.22,17.6867,12.51,3.12,8.17,0.96,0.8333,0.8,1.1667,0.71,0.8,1.32,0.7,0.8,1.0333,0.7
8/4/2017,186,0.8,0.81,1.21,0.8,1.71,3.9,22.39,39.17,25.58,25.84,19.17,7.62,9.61,7.67,2.75,4.21,2.58,0.71,0.81,0.9,0.7,0.81,1.31,0.7
8/5/2017,186,0.9433,0.81,0.81,0.8,1.3,0.7,0.9433,0.89,0.7,0.9333,1.3,0.7,0.8,1.0333,0.71,0.8,4.21,2.8,0.8,3.1633,0.7,0.81,1.4433,0.71
8/6/2017,186,0.8,0.81,0.81,1.5233,5.99,5.61,7.3,5.24,2.93,0.9633,1.29,0.8333,3.32,3.9633,2.5233,1.1666,7.0733,7.4433,4.4733,0.91,0.73,1.0667,1.31,0.7
8/7/2017,186,0.82,0.88,2.35,1.26,6.78,7.0933,20.21,27.26,20.92,24.88,19.02,3.81,9.1034,7.4533,2.5234,1.5766,1.14,2.51,4.14,2.53,0.71,0.8,0.91,0.9767
8/8/2017,186,0.9333,0.81,1.24,1.13,6.39,6.4,17.88,15.71,10.9733,14.1234,10.0967,9.1334,10.6567,15.83,9.0933,9.67,12.04,2.8167,0.81,0.9,0.71,0.81,1.4333,0.71
8/9/2017,186,0.81,0.8,2.62,1.3,2.89,7.57,20.98,35.3266,29.78,31.21,18.45,3.19,4.3733,6.48,4.97,2.19,1.18,0.7,1.22,1.1667,0.71,0.8,0.91,0.7
8/10/2017,186,1.21,0.9333,0.85,0.87,1.81,3.56,9.6,13.41,15.61,20.2467,9.22,5.61,12.66,4.17,0.8333,0.92,1.5667,0.31,1.21,0.9,0.71,0.81,1.0433,0.71
8/11/2017,186,1.22,0.85,0.91,0.93,2.56,3.57,13.61,17.09,14.94,13.32,10.41,1.59,0.8,7.29,0.38,4.4,4.85,3.21,4.01,1.46,0.7,1.21,0.9,0.71
8/12/2017,186,0.92,0.91,0.92,0.92,1.56,0.88,0.85,0.9,0.7,1.21,1.3,0.71,0.8,0.91,0.7,1.16,5.48,2.49,0.81,0.91,0.71,0.8,3.59,0.82
8/13/2017,186,0.88,0.81,0.81,1.45,6.05,5.58,6.89,4.92,2.1,0.79,1.3,1.1,8.11,13.95,8.47,2.23,1.78,7.62,5.75,2.25,0.71,1.2,1.41,0.74
8/14/2017,186,0.91,0.83,0.86,1.33,6.13,8.39,19.49,29.54,18.23,19.36,9.34,6.3,9.01,12.78,6.16,2.14,1.31,0.7,0.81,3.28,3.17,2.35,1.38,0.76
8/15/2017,186,1.21,0.8,0.81,0.8,6.98,8.65,28.29,36.97,22.42,19.49,11.26,9.94,9.76,16.43,7.32,3.29,3.76,3.6,1.66,1.31,0.7,0.87,1,0.81
8/16/2017,186,0.91,1.32,0.94,0.91,2.07,9.39,28.71,44.82,25.11,13.96,8.1,5.92,10.68,13.47,8.15,8.18,8.56,5.21,6.87,8.35,0.31,1.28,1.03,0.77
8/17/2017,186,0.94,0.95,0.94,0.95,2.56,5.72,22.02,34.67,21.99,21.6,6.9,5.66,10.59,12.94,5.69,7.33,8.56,5.3,6.91,8.39,0.3,1.2,1.37,0.78
8/18/2017,186,0.89,0.9,0.91,0.92,3.98,8.14,22.37,22.69,13.38,13.96,10.23,3.95,2.91,1.7,3.9,7.59,2.45,2.43,10.54,3.65,0.7,0.81,0.97,0.79
